"","trade_date","300131.SZ","300521.SZ","300662.SZ","600588.SH","603118.SH"
"1",2022-01-04,8.07,14.34,59.82,36.07,9.67
"2",2022-01-05,7.95,14.26,57.59,37.53,9.65
"3",2022-01-06,8.23,14.29,57.73,36.37,9.53
"4",2022-01-07,7.86,14.03,58.4,35.56,9.42
"5",2022-01-10,7.78,13.94,59,35.4,9.6
"6",2022-01-11,7.95,13.77,60.16,33.51,9.54
"7",2022-01-12,7.81,14.9,60.77,35.05,9.45
"8",2022-01-13,7.86,14.94,58.71,35,9.99
"9",2022-01-14,7.88,14.27,56.97,36.5,9.61
"10",2022-01-17,8.26,14.55,56.96,39.75,10.05
"11",2022-01-18,7.96,13.94,57.77,38.81,9.84
"12",2022-01-19,8.02,14.61,57.61,38.88,9.84
"13",2022-01-20,7.47,13.97,57.01,38.74,9.5
"14",2022-01-21,7.33,13.79,54.96,38.55,9.3
"15",2022-01-24,7.08,13.75,56.36,39.18,9.17
"16",2022-01-25,6.51,12.88,58.09,37.8,8.67
"17",2022-01-26,6.55,13.06,55.8,37.91,8.6
"18",2022-01-27,6.24,12.48,54.21,36,8.24
"19",2022-01-28,6.45,12.96,52.5,34.91,8.36
"20",2022-02-07,6.45,13.07,53.05,35.12,8.56
"21",2022-02-08,6.53,13.3,51.62,36.15,8.7
"22",2022-02-09,6.67,13.73,51.66,36.45,8.93
"23",2022-02-10,6.6,13.58,50.69,35.5,8.91
"24",2022-02-11,6.34,13.22,50.09,33.5,8.78
"25",2022-02-14,6.3,13.31,50.4,32,8.74
"26",2022-02-15,6.35,13.09,50.78,32.87,8.72
"27",2022-02-16,6.4,13.39,50.04,32.39,8.76
"28",2022-02-17,6.43,13.16,51.8,32.52,8.62
"29",2022-02-18,6.41,13.83,51.1,32.19,8.72
"30",2022-02-21,6.53,15.39,50.3,33.18,8.95
"31",2022-02-22,6.41,15.22,49.27,32.08,8.83
"32",2022-02-23,6.7,18.26,51.25,32.73,8.96
"33",2022-02-24,6.39,19.84,48.6,31.07,8.68
"34",2022-02-25,6.45,17.83,50.59,31.4,8.65
"35",2022-02-28,6.34,16.12,50.21,31.35,8.68
"36",2022-03-01,6.38,16.45,49.31,31.37,8.7
"37",2022-03-02,6.39,16.52,48.43,31.05,8.7
"38",2022-03-03,6.32,15.78,47.68,30.85,8.62
"39",2022-03-04,6.22,15.22,48.57,29.98,8.52
"40",2022-03-07,6.04,14.98,47.8,27.8,8.36
"41",2022-03-08,5.76,15.27,45.46,26.98,8.19
"42",2022-03-09,5.7,15.35,45,26.21,7.99
"43",2022-03-10,5.82,15,47.42,25.65,8.06
"44",2022-03-11,5.84,15.3,48,25.61,8.21
"45",2022-03-14,5.59,14.53,44.42,24.82,8.06
"46",2022-03-15,5.31,14.6,44.01,23.5,7.44
"47",2022-03-16,5.51,16.51,46.56,25.39,7.62
"48",2022-03-17,5.65,16.46,49.01,25.43,7.73
"49",2022-03-18,5.67,16.46,47.06,25.44,7.78
"50",2022-03-21,5.69,17.36,48.54,24.58,7.83
"51",2022-03-22,5.7,16.15,46.72,24.4,7.74
"52",2022-03-23,5.81,15.95,48.29,24.59,7.99
"53",2022-03-24,5.72,15.66,48.47,23.32,7.73
"54",2022-03-25,5.68,15.29,46.55,23.22,7.71
"55",2022-03-28,5.79,15.33,45.3,23.03,7.71
"56",2022-03-29,5.58,14.73,46.3,22.92,7.62
"57",2022-03-30,5.65,14.73,46.85,23.32,7.72
"58",2022-03-31,5.55,14.77,46.45,22.9,7.7
"59",2022-04-01,5.47,13.65,47.94,22.84,7.65
"60",2022-04-06,5.5,14.04,44.69,22.4,7.72
"61",2022-04-07,5.34,13.73,45.06,21.67,7.5
"62",2022-04-08,5.21,13.94,43.06,21.42,7.38
"63",2022-04-11,5,13.28,44.87,20.55,7.1
"64",2022-04-12,5.18,13.47,46.5,21.39,7.24
"65",2022-04-13,5.06,13.6,45.89,20.83,7.2
"66",2022-04-14,5.09,14.38,45.43,21.02,7.25
"67",2022-04-15,5.01,13.84,46.5,20.79,7.67
"68",2022-04-18,5.05,13.93,47,20.99,7.74
"69",2022-04-19,5.08,13.9,45.24,20.42,7.87
"70",2022-04-20,5.03,13.41,47.2,20.46,7.81
"71",2022-04-21,4.76,12.73,47.05,19.76,7.62
"72",2022-04-22,4.64,12.83,44.3,19.5,7.51
"73",2022-04-25,4.16,12.35,40.71,17.83,6.88
"74",2022-04-26,3.99,11.18,40.76,16.94,7.17
"75",2022-04-27,4.26,10.8,40,17.73,7.29
"76",2022-04-28,4.09,10,45.15,17.7,6.56
"77",2022-04-29,4.29,11,47.07,19.14,6.71
"78",2022-05-05,4.32,10.86,46.55,18.48,6.74
"79",2022-05-06,4.23,10.33,45.9,18.32,6.55
"80",2022-05-09,4.31,10.51,46.26,18.02,6.55
"81",2022-05-10,4.43,10.74,47,18.36,6.6
"82",2022-05-11,4.46,10.54,48.91,18.52,6.66
"83",2022-05-12,4.55,10.67,49.28,18.72,6.73
"84",2022-05-13,4.56,10.63,48.33,18.61,6.73
"85",2022-05-16,4.59,10.74,48.52,18.68,6.69
"86",2022-05-17,4.61,10.72,48,18.65,6.72
"87",2022-05-18,4.64,10.84,46.97,18.84,6.77
"88",2022-05-19,4.72,10.87,48.07,18.15,6.76
"89",2022-05-20,4.82,10.9,49.03,19.2,6.82
"90",2022-05-23,4.97,11.18,47.11,18.88,6.91
"91",2022-05-24,4.68,10.56,45.47,17.9,6.56
"92",2022-05-25,4.83,10.78,45.2,18.06,6.66
"93",2022-05-26,4.77,10.67,47.1,18.06,6.82
"94",2022-05-27,4.73,10.77,53.3,18.12,6.77
"95",2022-05-30,4.73,10.99,53.19,18.62,6.87
"96",2022-05-31,4.81,10.94,51.08,19.36,6.93
"97",2022-06-01,4.84,11.07,51.22,19.04,6.95
"98",2022-06-02,4.92,11.2,51.06,19.24,7.07
"99",2022-06-06,5.03,11.39,50.29,20.04,6.96
"100",2022-06-07,5.02,11.18,52.09,19.8,6.96
"101",2022-06-08,4.94,11.11,52.4,20.18,7.16
"102",2022-06-09,4.73,10.83,49.3,19.28,6.84
"103",2022-06-10,4.83,10.95,50.75,19.3,7.11
"104",2022-06-13,4.88,11.11,53.7,19.23,7.08
"105",2022-06-14,4.91,11.07,51.14,19.28,7.01
"106",2022-06-15,4.87,10.93,51.75,19.9,7.02
"107",2022-06-16,4.95,11.04,52.95,20.17,7.05
"108",2022-06-17,4.99,10.93,51.01,20.19,7.09
"109",2022-06-20,5.04,11.16,52,20.38,7.1
"110",2022-06-21,5.13,11.25,52.1,20.19,7.11
"111",2022-06-22,5.05,11.06,49.4,19.46,6.96
"112",2022-06-23,5.27,11.29,49.62,19.96,7.09
"113",2022-06-24,5.19,11.3,49.3,20.14,7.2
"114",2022-06-27,5.11,11.22,50.16,20.35,7.37
"115",2022-06-28,5.38,11.72,50.6,20.25,7.51
"116",2022-06-29,5.25,11.3,51.53,22.28,7.43
"117",2022-06-30,5.24,11.23,51.89,21.71,7.42
